Email_Subject,Email_Content,Sender_Name,Sender_Domain,Sender_TLD,URLs,Suspicious_Words,label
Untersuchter Text,"
­­­­Wi­­­­­­c­­­h­­­­­­t­­­i­­­­­­g­e :­­­­­­­­ ­­­Ih­­­­r­­­­­­­ ­­­­­­­A­­­­­­­­m­­­a­z­o­­­­­­­­n­­­­­­­-­­­­K­­­­o­­­­­­­­n­t­­­­­­­o­ ­­­w­­­­­­­­u­­­­­­­­r­­­­­­­­d­­­­­­­­e ­v­­­­­­­o­­­­­­­rü­­­­­­­­b­­­­e­r­g­­­­­­e­­­­­­­h­e­­­­­­­­nd­­­­ ­­­­­­­­ge­­­­­­s­­­­­­p­­­e­­­r­­­r­­­­­­t­­­. #­BVAQYPM
n­­­­o­-­­r­­­e­­­­­­­p­­­­­­­l­­y 

Hallo,

Wir haben Ihr Amazon-Konto vorübergehend gesperrt und alle ausstehenden Bestellungen oder Abonnements storniert, da ungewöhnliche Aktivitäten festgestellt wurden.

Um den Zugang zu Ihrem Konto wiederherzustellen, klicken Sie bitte auf die Schaltfläche unten und folgen Sie den Anweisungen auf dem Bildschirm. Sobald Sie die erforderlichen Informationen bereitgestellt haben, werden wir Ihre Anfrage prüfen und innerhalb von 24 Stunden antworten.

Wenn der Konto-Wiederherstellungsprozess nicht innerhalb von 3 Tagen abgeschlossen wird, kann Ihr Amazon-Konto dauerhaft gesperrt werden.

Wir entschuldigen uns für etwaige Unannehmlichkeiten. Vielen Dank für Ihre Aufmerksamkeit und Ihr Verständnis.

Mit freundlichen Grüßen,
Das Amazon-Support-Team",no-reply@phishingdetector.com,phishingdetector,com,,"Konto, Klicken",1
Untersuchter Text,"Bestɑ̈tigen Sie die Liefeɾɑdɾesse füɾ Ihɾ Pɑket
	
	

Pɑketzustellung 
Von:paketzustellung_v1qjmcxkwlbz54s@nationalsboat.de
 Sie haben (1) Paket, das auf die Zustellung wartet
Bestätigen Sie die Lieferadresse für Ihr Paket
Sofort öffnen!

CLICK

",no-reply@phishingdetector.com,phishingdetector,com,,Bestätigen,1
Untersuchter Text,"📅 Frühbucher-Vorteil: Sichern Sie sich jetzt 15% auf Ihren Mietwagen!
Urlaubsplanung 
Von:news@boldinnovations.digital


Wir senden Ihnen diese E-Mail, weil Sie zugestimmt haben, Partnerangebote von Mailflow zu erhalten.
 
 
 
 
WÄHLEN SIE EIN Fahrzeug, das IHREN BEDÜRFNISSEN entspricht
 
Ihr nächstes Abenteuer wartet: Sind Sie bereit?
 
 
Stadtautos
 
	
 
Elektro
 
	
 
Premium
 
 
	
 
 
 
Finden Sie Ihr nächstes Ziel mit Europcar
 
Planen Sie Ihren Urlaub im Voraus mit unseren exklusiven Angeboten:
• Genießen Sie außergewöhnliche Rabatte (bis zu 15%*)
• Reisen Sie stressfrei mit nahtloser Planung
• Wir sind in über 130 Ländern tätig
 
 
 
Reisen am Meer
 
Entdecken
 
	
 
Die Stadt erkunden
 
Entdecken
 
 
 
 
Dienstleistungen & Informationen
 
 
Stationsfinder 
 
	
 
Häufige Fragen
 
	
 
Kontaktieren
Sie uns
 
 
* Für die vollständigen Bedingungen und Konditionen besuchen Sie bitte die Angebotsseite.
 

 





Diese Nachricht wurde Ihnen gesendet, weil Sie sich für den Erhalt unserer E-Mails angemeldet haben oder von einem unserer Partner.
Wir entschuldigen uns, falls Sie diese E-Mail versehentlich erhalten haben.
Sie können sich jederzeit über den unten stehenden Link von dieser Liste abmelden oder uns kontaktieren: info@mailflow.agency
Klicken Sie hier, um diese Nachricht als unaufgefordert zu melden
Newsletter abbestellen
",no-reply@phishingdetector.com,phishingdetector,com,,,1
Untersuchter Text,"Ihr kostenloses Medicare-Set ist bereit – Fordern Sie es noch heute an
Ihr Medicare-Ratgeber 
Von:medicare_a9xsxrafkmiohbvv@fatesection.herokussi.com
 Erhalten Sie Antworten. Finden Sie Sicherheit. Holen Sie sich Ihr Medicare-Set


",no-reply@phishingdetector.com,phishingdetector,com,,Sicherheit,1
Untersuchter Text,"Received: from 127.0.0.1
 by atlas-production.v2-mail-prod1-ir2.omega.yahoo.com pod-id atlas--production-ir2-7756564b67-x7dv5.ir2.yahoo.com with HTTP; Wed, 23 Apr 2025 20:13:07 +0000
Return-Path: <iiAHFfFhZAwYyVAXWkSdnCmulSh@blackstone.starninedata.com>
X-Originating-Ip: [174.139.31.10]
Received-SPF: pass (domain of blackstone.starninedata.com designates 174.139.31.10 as permitted sender)
Authentication-Results: atlas-production.v2-mail-prod1-ir2.omega.yahoo.com;
 dkim=pass header.i=@blackstone.starninedata.com header.s=selector1 arc_overridden_status=NOT_OVERRIDDEN;
 spf=pass smtp.mailfrom=blackstone.starninedata.com arc_overridden_status=NOT_OVERRIDDEN;
 dmarc=pass(p=REJECT) header.from=blackstone.starninedata.com arc_overridden_status=NOT_OVERRIDDEN;
X-Apparently-To: beertothebones@yahoo.de; Wed, 23 Apr 2025 20:13:07 +0000
X-YMailISG: 7vzknNwWLDvGy27ii74rjhAwvTZwsZ4WoZOOHQo_cLU52Q8j
 AqY4oxwj5C8LhSDkk8ogkc3K_sWkRGvM0aLjuxO9RF.TDX1IJOwWoXwG4K_H
 V67AfajEqtdFkuwh2U7WagLKhHJUVx_VHT23n267dNbnIcY13aIaQ19H8RWQ
 lMnmQIKoyh4tjke4ypQYcwm9XHmOyy2tXG41DuczlPn9E4YqXmSuaPnHVmTC
 pn7IdxV6TKq_8BCDtoQ51MstFOrdZP1oGIa2gXNcYOF3KqK_OLJPtaAmPUQY
 IjN.CwZnU7TirM2UZe_VXjv890s1ZgBQuTizZ5Dfne_wS4FXfp_o..xhyZ2t
 l640TyDSOxpu63y7oF4FKcHzNcbvRG5gZPBjWGHRX.OhOVezFX1BAAoDyepM
 v1coI6zBpWMGPKNSEkVdqjAs_bd1AnFQaaNynd0ElW6FDJln546MTpzY6tSo
 _vQF8xuozP9adSZNU1CzTHrHtcNol5b_4MYMfRmWLSrRbdoN3w4H_S2RmDzk
 Nxi0iMg4HJFJQx7rzc2JSW1YPte2.COCudFUfXJzoogq6KlZH_XLid_Y_Dfv
 WoZ.EFC7IUjjesxpu9T2MsSS7tsprBxNWKGQ.PKzBkk8AYDL8NLaeFY378zu
 5weptAiQMxcO71sNOtNsfryN4.I0xXqM6iYyYeh3ihKUhUo9IfcCu5Se3ie6
 aipYlsbvs_FvPxrXvqMGDETY6u4aFCSlIAh6lQL2xFML4gVvm86jpagpCTny
 ihAr8n6xPtmG2V.XdC24jjZh6j.KeLU6u_MSDLss5OIXnubPYkFcn9tRu6EV
 6jtLGsvnT3FpGUf2jyYCvYMix0asSt42Pax9.BaZJcrZSZD2WGELo6rmmAbl
 Z8ZrgrZ5IdFNgFhNkStKPHPZKW7FZcORP6i_fEDkM0DFupnvTGq9VCVvLjmA
 uqDXsofCJeK4NHW6bvSl_T0706kwal2uhwE2fEKLT5ru2JTWooG2v0unqhM5
 9MPqpXGp2n7fUeOAVauH8GclRZcoUUjFtP9yUhEiFM0GHRJ6EbZkkZ7rRZZ8
 _VnBII_xaMDvZbnRaG4.Z_9d0cpZvsxXDeypQ8OUhgG17ieGdzpCe1dUh0rR
 TsSAMtkhymUpqPnrUjDBumTjOP4c_4WGnuScIYqHRcuXsmzxyfc6rFJRr5Rv
 jmFcDJ96_Dtt6H6KoH9g0kSZPT1OTlkHD4re819Q
Received: from 174.139.31.10 (EHLO eatonville.wednet.edu)
 by 10.200.79.45 with SMTP;
 Wed, 23 Apr 2025 20:13:07 +0000
DKIM-Signature: v=1; a=rsa-sha1; c=relaxed/relaxed; s=selector1; d=blackstone.starninedata.com;
 h=From:Reply-To:Subject:Date:To:Content-Type:Content-Transfer-Encoding; i=iiAHFfFhZAwYyVAXWkSdnCmulSh@blackstone.starninedata.com;
 bh=2kyRUTeZmCyeHZWg9Pn5i/8NXUs=;
 b=ZGgKNEni4WmMAOxpB/tm8weusFMNiMxU7f6C8JqVV7t/Vxz+yO9yRXWSf/0caUkCkzxmd891RJs8
   TdhoA7zXUUKihOUIvjahVaUnPOFTD3912jSRZFPQZyaUl7RKgF1o/3JcT6CfpL+QqQ7SLBXdC/Fm
   Ll6tWq6wT+XRc6a6Luo=
DomainKey-Signature: a=rsa-sha1; c=nofws; q=dns; s=selector1; d=blackstone.starninedata.com;
 b=V5BlGb8jKirxFk6fiifRdJqOR4FGA24tRh1uSTsp3C5dsICxvUJN114lIe8wYrarVkEQnQ0BvL0w
   KH8GLv6yNo3NFjVZqo7eIxIVMptax02qegsjS2oiNPyi3mRvyOGbcXyte9N9Sz49VnP6WGvK2C0W
   /H4wVXwRzhiz7iS4zbI=;
From: ""Besttigung  22"" <iiAHFfFhZAwYyVAXWkSdnCmulSh@blackstone.starninedata.com>
Reply-To: <phonoglyphelectroosmotically@hill.emailgids.net>
Subject:Dringend! Ihr Gert wurde kompromittiert! Schtzen Sie sich JETZT!
Date: Wed, 23 Apr 2025 20:13:07 +0000 (UTC)
To: ""beertothebones@yahoo.de""
Content-Type:  multipart/alternative;
                       boundary=""--UVZ2UNMN6XLV4EW8YUOOWE3EZPLGJFOLWCD1YWM0FNY1CPL0UUAZUG959BGEBFGZ0E08ZWR9C2YCBPWL3""
Content-Transfer-Encoding: quoted-printable
Content-Length: 4757

----UVZ2UNMN6XLV4EW8YUOOWE3EZPLGJFOLWCD1YWM0FNY1CPL0UUAZUG959BGEBFGZ0E08ZWR9C2YCBPWL3
Content-Type: text/html; charset=utf-8
Content-transfer-encoding: quoted-printable


<!DOCTYPE html>
<html>
<head>
  <title></title>
<body style=""margin: 0;padding: 0;font-family: Arial, sans-serif;background-color: rgb(245, 245, 245);"">
<img src=""http://emailgids.net/BuNW2JuAEEn.cfm?DJLxiVFgx_gAAAAABoCUnTlpw-9D92pNPQz22x8sJLHiB0PXVFa4db3XcX5ybziTPNAMfIstulTvEuxB2fH--0JdQrm3yeLFwtLoHAxgaKyGFpVqWmxhZcSS3zjssvvAKJUxXgKWx_psdroJWWPhITmwzpdFa4aUhBnphpISN6AQ=="" width='1' height='1'>
<div style=""padding: 20px;border-radius: 10px 10px 0 0;box-shadow: 0 4px 8px rgba(0, 0, 0, 0.1);max-width: 600px;margin: auto;color: white;line-height: 30px;font-weight: bold;border-bottom: 1px solid #ccc;"">
</div>
  <div style=""padding: 20px;border-radius: 10px 10px 0 0;box-shadow: 0 4px 8px rgba(0, 0, 0, 0.1);max-width: 600px;margin: auto;background-color: #fff;color: white;line-height: 30px;font-weight: bold;text-align: center;border-bottom: 1px solid #ccc;"">
<a href=""http://emailgids.net/BuNW2JuAEEn.php4?VXjkWqs_gAAAAABoCUnTMYu9uQTT1_C9HpIuLEBhlcmRKr_A8WediTwZsAovs9UkXH8_HzqLibchnmxH_hd7IhBw9L1IwhyQKWyLVtC-wqO5-egR3ZoAcv0ADGXuo80-gbQjVIEbBkeP65pmHr3TW3t4ienJNNR3hRo7ZgfSfQ=="" style=""text-decoration:none;"">
<h2 style=""font-size: 24px;margin-bottom: 10px;color: #1f799e ;""><span>McAfee â€“ Mitgliedschaft abgelaufen<br>
Ihre Mitgliedschaft endete am 23.04.2025.<br>[ Letzte AnkÃ¼ndigung ]</h2>
</a>
</div>
  <div style="" max-width: 600px;margin: auto;padding: 20px;background-color: white;border-radius: 0 0 10px 10px;box-shadow: 0 4px 8px rgba(0, 0, 0, 0.1);"">
    <table style=""width: 100%;font-size: 16px;color: #333333;border-collapse: collapse;border: 1px solid #ccc;border-radius: 8px;overflow: hidden;box-shadow: 0 4px 8px rgba(0, 0, 0, 0.1);"">
      <tr>
        <th style=""background-color: #1f799e ;color: #fff;height: 30px;line-height: 30px;font-weight: bold;text-align: center;border-bottom: 1px solid #ccc;"" colspan=""2"">Kontoinformationen</th>
      </tr>
      <tr>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">Konto-ID:</td>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">DE4983902</td>
      </tr>
      <tr>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">Benutzer:</td>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">Beertothebones</td>
      </tr>
      <tr>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">Rabatt:</td>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">90%</td>
      </tr>
      <tr>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">Datum lÃ¤uft ab</td>
        <td style=""height: 20px;background-color: rgb(247, 247, 247);padding: 8px;text-align: left;border-bottom: 1px solid #ccc;"">23-04-2025</td>
      </tr>
    </table>
    <p style=""font-size: 16px;line-height: 1.5;margin-top: 20px;color:black"">
     
Wir haben mehrmals versucht, Sie bezÃ¼glich bestimmter Benachrichtigungen und Nachrichten zu Ihrem Konto zu kontaktieren, haben aber leider keine Antwort erhalten.<br><br>

Wir empfehlen Ihnen dringend, Ihr Abonnement zu verlÃ¤ngern, um Ihre digitale Sicherheit weiterhin vor Online-Bedrohungen und potenziellen Hackern zu schÃ¼tzen.<br><br>
Wenn Sie Ihre Mitgliedschaft nicht innerhalb der nÃ¤chsten 48 Stunden verlÃ¤ngern, beachten Sie bitte, dass Ihr Konto mÃ¶glicherweise gesperrt wird..<br>

<a href=""http://emailgids.net/BuNW2JuAEEn.php4?VXjkWqs_gAAAAABoCUnTMYu9uQTT1_C9HpIuLEBhlcmRKr_A8WediTwZsAovs9UkXH8_HzqLibchnmxH_hd7IhBw9L1IwhyQKWyLVtC-wqO5-egR3ZoAcv0ADGXuo80-gbQjVIEbBkeP65pmHr3TW3t4ienJNNR3hRo7ZgfSfQ=="" style=""text-decoration:none;"">
    <span style=""display: block;width: 220px;margin: 20px auto;padding: 10px 20px;background-color: #1f799e ;color: #fff;text-align: center;text-decoration: none;border-radius: 5px;font-weight: bold;"">SchÃ¼tzen Sie Ihr GerÃ¤t</span></a>
    </p>


  </div>
<td class=""em_hide"" style=""line-height: 1px; min-width: 600px;"" bgcolor=""#f9fafc""><img class=""adapt-img"" src="""" alt="""" width=""1px"" height=""1px"" style=""display:block;font-size:14px;border:0;outline:none;text-decoration:none""></a>
</td>
</body>
</html>


----UVZ2UNMN6XLV4EW8YUOOWE3EZPLGJFOLWCD1YWM0FNY1CPL0UUAZUG959BGEBFGZ0E08ZWR9C2YCBPWL3--
",no-reply@phishingdetector.com,phishingdetector,com,"http://emailgids.net/BuNW2JuAEEn.cfm?DJLxiVFgx_gAAAAABoCUnTlpw-9D92pNPQz22x8sJLHiB0PXVFa4db3XcX5ybziTPNAMfIstulTvEuxB2fH--0JdQrm3yeLFwtLoHAxgaKyGFpVqWmxhZcSS3zjssvvAKJUxXgKWx_psdroJWWPhITmwzpdFa4aUhBnphpISN6AQ==, http://emailgids.net/BuNW2JuAEEn.php4?VXjkWqs_gAAAAABoCUnTMYu9uQTT1_C9HpIuLEBhlcmRKr_A8WediTwZsAovs9UkXH8_HzqLibchnmxH_hd7IhBw9L1IwhyQKWyLVtC-wqO5-egR3ZoAcv0ADGXuo80-gbQjVIEbBkeP65pmHr3TW3t4ienJNNR3hRo7ZgfSfQ==, http://emailgids.net/BuNW2JuAEEn.php4?VXjkWqs_gAAAAABoCUnTMYu9uQTT1_C9HpIuLEBhlcmRKr_A8WediTwZsAovs9UkXH8_HzqLibchnmxH_hd7IhBw9L1IwhyQKWyLVtC-wqO5-egR3ZoAcv0ADGXuo80-gbQjVIEbBkeP65pmHr3TW3t4ienJNNR3hRo7ZgfSfQ==",,1
Untersuchter Text,"NETTO-Angebot für
Anna, Kundenservice 
Von:news@curiousminds.digital
Hallo ,

Leider konnten wir Sie bisher nicht erreichen, um ihnen bei der Einlösung Ihres 250€ Netto-Gutscheins zu helfen.

Ab nächster Woche werden alle nicht eingelösten Gutscheine an andere Gewinner verschenkt.

Wenn Sie diese E-Mail empfangen haben, dann verlieren Sie keine Zeit mehr und bestätigen Sie ihren Gutschein: Netto-Gutschein 250€.

Diese Chance ist Ihnen unter Tausenden von Netto-Kunden vorbehalten. Verpassen Sie sie nicht. Klicken Sie hier:
Netto-Gutschein 250€.

Mit freundlichen Grüßen
Charlotte Hermann
- Kundendienst -
 
 
» BESTÄTIGEN «

 
 
 




 
 


Achtung: Der Werbetreibende hat Ihre E-Mail-Adresse nicht.

newsletter von: KJM, Dimotikis Agoras 20, Larnaca 6021, Cyprus

Klicken Sie hier, um diese Nachricht als unaufgefordert zu melden.

Newsletter abbestellen
 
",no-reply@phishingdetector.com,phishingdetector,com,,Bestätigen,1
Untersuchter Text,"🍀 Jetzt 11 € Glückskarte einlösen: 6 Felder EuroJackpot für nur 1 €!
EUROJACKPOT GLÜCKSKARTE 
Von:news@showconnect.digital
Lottohelden
Ihre Gutscheinkarte für EuroJackpot!
Hallo,

ein glücklicher Gewinner aus Schweden hat letzte Woche den gigantischen 115 Mio € Jackpot geknackt – vielleicht sind Sie der nächste Gewinner?

Lösen Sie jetzt Ihre 11 € Glückskarte ein und spielen Sie 6 Felder EuroJackpot für nur 1 € (statt 12 €). Lassen Sie sich diese Chance nicht entgehen!
Jetzt einlösen
Lottohelden­.de –
Einfach, sicher, günstig!
🏆 Vielfach prämierter Testsieger 	✔️ Sicher mit Trusted Shops geprüft 	📜 Staatlich lizenziert und kontrolliert
 

Spielen Sie bitte alle bei Lottohelden­.de angebotenen Lotterien mit Verantwortung. Spielteilnahme ab 18! Spielen kann süchtig machen. Hilfe: www.lottohelden.de/ spielsucht praeventionen/

© Lottohelden­.de, 2025
Bitte beachten Sie, dass diese E-Mail nicht von Lottohelden­.de direkt versendet worden ist und Lottohelden­.de keinen Einfluss auf den Empfänger­kreis hat. Möchten Sie sich aus diesem Verteiler abmelden, wenden Sie sich bitte direkt an den Absender.
Informationen
Sie haben diese Nachricht erhalten, weil Sie auf der Promo News Germany-Liste (im Besitz von Infomúsica Ltd) registriert sind.
Verantwortlich für den E-Mail-Versand und die Speicherung Ihrer Daten ist die Infomusica Ltd.
Bei Fragen wenden Sie sich bitte direkt an uns.
E-mail: user [@] infomusica-media[.]com
Infomúsica Ltd, Av. David Mourão Ferreira 23A, 1750-209 Lisboa, Portugal


Klicken Sie hier, um diese Nachricht als unaufgefordert zu melden

Um in Zukunft auf weitere Mails von uns zu verzichten, können sich sich hier jederzeit abmeld",no-reply@phishingdetector.com,phishingdetector,com,,,1
Untersuchter Text,"Tue, 01 Apr 2025 16:57:22 +0000 (UTC): 1000,00 $💸 Anzahlung an Sie gesendet 💲💰ID71884742.
fitnesslife12copy@cohenhome.bstonlogic.com
PayPal

Habe dir Geld geschickt
Sie können Ihre $1000.00Vorausbezahlt Karte jetzt



Transaktionsdetails

Transaktions-ID 	Transaktionsdatum
07044288 	Today


Erhaltener Betrag 	$1000.00

Akzeptieren Sie Ihr Geld bis diesen Monat. Klicken Sie auf die Schaltfläche unten, um zu beginnen.




Akzeptiere das Geld

Ihre Kontoinformationen:
Name: 
E-Mail: 
Auszahlungsüberprüfung: $1000 PAYOUT",no-reply@phishingdetector.com,phishingdetector,com,,Klicken,1
Untersuchter Text,"Letzte Erinnerung: Beertothebones, erneuern Sie noch heute Ihr McAfee-Abonnement!
Yahoo/Spam

Mcafee 
Von:officiel@citybest.spectra7licensing.com
An:beertothebones@yahoo.de
Mi., 2. Apr. um 17:23
Aus Sicherheitsgründen haben wir alle Bilder und Links in dieser E-Mail deaktiviert. Wenn Sie glauben, dass die Nachricht sicher ist, markieren Sie sie als „kein Spam“.


Ihr McAfee-Abonnement ist abgelaufen
Dringend: Ihr Abonnement ist abgelaufen! Sie haben 24 Stunden um Ihren Schutz zu erneuern und aufrechtzuerhalten.

Ihr Abonnement für McAfee Total Protection für Windows ist abgelaufen am 04/03/2025.

Ohne Erneuerung, Ihre Geräte können anfällig für Viren, Malware und Identitätsdiebstahl werden.

Sofortiges Handeln erforderlich! Ihre Geräte sind ungeschützt und gefährdet...
Konto-ID: 	4332500US
Benutzer: 	Beertothebones
Seriennummer: 	RPTS JI89 DWJR QNK8
Rabatt: 	95.99% OFF
Angebot gültig bis: 	04/03/2025
JETZT VERLÄNGERN

Dear Beertothebones,

Trotz mehrfacher Benachrichtigungen und Warnungen haben wir keine Antwort erhalten. Ihr Schutz vor Cyberbedrohungen ist ernsthaft gefährdet.

Erneuern Sie Ihr Abonnement umgehend, um einen ununterbrochenen Schutz vor Cyberangriffen und Hackern sicherzustellen. Ihre Sicherheit hat für uns höchste Priorität.",no-reply@phishingdetector.com,phishingdetector,com,,"Dringend, Sicherheit",1
Untersuchter Text,"Wir haben deinen Account gesperrt! Am 10 . April 2025 werden deine Bilder und Videos gelöscht. Tu etwas!
Zahlung abgelehnt 
Von:fitnesslife12copy@cohenhome.bstonlogic.com
Wir haben Ihr Konto gesperrt! Am 10.04.2025 werden Ihre Bilder und Videos gelöscht. Tu etwas!",no-reply@phishingdetector.com,phishingdetector,com,,Konto,1
